"id","e","n"
"116980","1201957.15","7173638.474"
"116981","1201957.15","7173673.162"
"116982","1201957.15","7173706.71"
"116983","1201957.15","7173740.258"
"116984","1201957.15","7173774.936"
"116985","1201957.15","7173809.624"
"116986","1201957.15","7173844.302"
"116987","1201957.15","7173871.4"
"116988","1201986.85","7173921.41"
"116989","1201986.85","7173948.5"
"116990","1201986.85","7173983.19"
"116991","1201986.85","7174017.87"
"116992","1201986.85","7174052.55"
"116993","1201986.85","7174086.1"
"116994","1201986.85","7174119.66"
"116995","1201986.85","7174154.34"
"116996","1201986.85","7174189.02"
"116997","1201986.85","7174223.71"
"116998","1201986.85","7174250.8"
"116999","1201986.85","7173542.01"
"117001","1201986.85","7173603.79"
"117002","1201986.85","7173638.47"
"117003","1201986.85","7173673.16"
"117004","1201986.85","7173706.71"
"117005","1201986.85","7173740.26"
"117006","1201986.85","7173774.94"
"117007","1201986.85","7173809.63"
"117008","1201986.85","7173844.31"
"117009","1201986.85","7173871.41"
"117010","1202016.55","7173921.41"
"117011","1202016.55","7173948.5"
"117012","1202016.55","7173983.19"
"117013","1202016.55","7174017.87"
"117014","1202016.55","7174052.55"
"116978","1201957.15","7173569.118"
"116956","1201927.45","7173569.11"
"117016","1202016.55","7174119.66"
"117017","1202016.55","7174154.34"
"117018","1202016.55","7174189.02"
"117019","1202016.55","7174223.71"
"117020","1202016.55","7174250.8"
"117021","1202016.55","7173542.01"
"117023","1202016.55","7173603.79"
"117024","1202016.55","7173638.47"
"117025","1202016.55","7173673.16"
"117026","1202016.55","7173706.71"
"117027","1202016.55","7173740.26"
"117028","1202016.55","7173774.94"
"117029","1202016.55","7173809.63"
"117030","1202016.55","7173844.31"
"117031","1202016.55","7173871.41"
"117032","1202046.25","7173921.41"
"117033","1202046.25","7173948.5"
"117034","1202046.25","7173983.19"
"117035","1202046.25","7174017.87"
"117036","1202046.25","7174052.55"
"117037","1202046.25","7174086.1"
"117038","1202046.25","7174119.66"
"117039","1202046.25","7174154.34"
"117040","1202046.25","7174189.02"
"117041","1202046.25","7174223.71"
"117042","1202046.25","7174250.8"
"117043","1202046.25","7173542.01"
"117045","1202046.25","7173603.79"
"117046","1202046.25","7173638.47"
"117047","1202046.25","7173673.16"
"117048","1202046.25","7173706.71"
"117049","1202046.25","7173740.26"
"117050","1202046.25","7173774.94"
"117051","1202046.25","7173809.63"
"117052","1202046.25","7173844.31"
"117053","1202046.25","7173871.41"
"117054","1202075.95","7173921.41"
"117055","1202075.95","7173948.5"
"117056","1202075.95","7173983.19"
"117057","1202075.95","7174017.87"
"117058","1202075.95","7174052.55"
"117059","1202075.95","7174086.1"
"117060","1202075.95","7174119.66"
"117061","1202075.95","7174154.34"
"117062","1202075.95","7174189.02"
"117063","1202075.95","7174223.71"
"117064","1202075.95","7174250.8"
"117065","1202075.95","7173542.019"
"117067","1202075.95","7173603.795"
"117068","1202075.95","7173638.474"
"117069","1202075.95","7173673.162"
"117070","1202075.95","7173706.71"
"117071","1202075.95","7173740.258"
"117072","1202075.95","7173774.936"
"117073","1202075.95","7173809.625"
"117074","1202075.95","7173844.303"
"117075","1202075.95","7173871.401"
"117076","1202105.65","7173921.41"
"117077","1202105.65","7173948.5"
"117078","1202105.65","7173983.19"
"117079","1202105.65","7174017.87"
"117044","1202046.25","7173569.11"
"117022","1202016.55","7173569.11"
"117081","1202105.65","7174086.1"
"117082","1202105.65","7174119.66"
"117083","1202105.65","7174154.34"
"117085","1202105.65","7174223.71"
"117086","1202105.65","7174250.8"
"117087","1202105.65","7173542.01"
"117089","1202105.65","7173603.79"
"117090","1202105.65","7173638.47"
"117091","1202105.65","7173673.16"
"117092","1202105.65","7173706.71"
"117093","1202105.65","7173740.26"
"117094","1202105.65","7173774.94"
"117095","1202105.65","7173809.63"
"117096","1202105.65","7173844.31"
"117097","1202105.65","7173871.41"
"117098","1202135.35","7173921.419"
"117099","1202135.35","7173948.508"
"117100","1202135.35","7173983.196"
"117101","1202135.35","7174017.874"
"117102","1202135.35","7174052.552"
"117103","1202135.35","7174086.1"
"117104","1202135.35","7174119.658"
"117105","1202135.35","7174154.336"
"117106","1202135.35","7174189.014"
"117107","1202135.35","7174223.702"
"117108","1202135.35","7174250.791"
"117109","1202135.35","7173542.01"
"117111","1202135.35","7173603.79"
"117112","1202135.35","7173638.47"
"117113","1202135.35","7173673.16"
"117114","1202135.35","7173706.71"
"117115","1202135.35","7173740.26"
"117116","1202135.35","7173774.94"
"117117","1202135.35","7173809.63"
"117118","1202135.35","7173844.31"
"117119","1202135.35","7173871.41"
"117120","1202165.05","7173921.41"
"117121","1202165.05","7173948.5"
"117122","1202165.05","7173983.19"
"117123","1202165.05","7174017.87"
"117124","1202165.05","7174052.55"
"117125","1202165.05","7174086.1"
"117126","1202165.05","7174119.66"
"117127","1202165.05","7174154.34"
"117128","1202165.05","7174189.02"
"117129","1202165.05","7174223.71"
"117130","1202165.05","7174250.8"
"117131","1202165.05","7173542.01"
"117133","1202165.05","7173603.79"
"117134","1202165.05","7173638.47"
"117135","1202165.05","7173673.16"
"117136","1202165.05","7173706.71"
"117137","1202165.05","7173740.26"
"117138","1202165.05","7173774.94"
"117139","1202165.05","7173809.63"
"117140","1202165.05","7173844.31"
"117141","1202165.05","7173871.41"
"117142","1202194.75","7173921.41"
"117143","1202194.75","7173948.5"
"117144","1202194.75","7173983.19"
"117132","1202165.05","7173569.11"
"117110","1202135.35","7173569.11"
"117088","1202105.65","7173569.11"
"117146","1202194.75","7174052.55"
"117147","1202194.75","7174086.1"
"117148","1202194.75","7174119.66"
"117149","1202194.75","7174154.34"
"117150","1202194.75","7174189.02"
"117151","1202194.75","7174223.71"
"117152","1202194.75","7174250.8"
"117153","1202194.75","7173542.01"
"117155","1202194.75","7173603.79"
"117156","1202194.75","7173638.47"
"117157","1202194.75","7173673.16"
"117158","1202194.75","7173706.71"
"117159","1202194.75","7173740.26"
"117160","1202194.75","7173774.94"
"117161","1202194.75","7173809.63"
"117162","1202194.75","7173844.31"
"117163","1202194.75","7173871.41"
"117164","1202224.45","7173921.41"
"117165","1202224.45","7173948.5"
"117166","1202224.45","7173983.19"
"117167","1202224.45","7174017.87"
"117168","1202224.45","7174052.55"
"117169","1202224.45","7174086.1"
"117170","1202224.45","7174119.66"
"117171","1202224.45","7174154.34"
"117172","1202224.45","7174189.02"
"117173","1202224.45","7174223.71"
"117174","1202224.45","7174250.8"
"117175","1202224.45","7173542.01"
"117177","1202224.45","7173603.79"
"117178","1202224.45","7173638.47"
"117179","1202224.45","7173673.16"
"117180","1202224.45","7173706.71"
"117181","1202224.45","7173740.26"
"117182","1202224.45","7173774.94"
"117183","1202224.45","7173809.63"
"117184","1202224.45","7173844.31"
"117185","1202224.45","7173871.41"
"117186","1202254.15","7173921.41"
"117187","1202254.15","7173948.5"
"117188","1202254.15","7173983.19"
"117189","1202254.15","7174017.87"
"117190","1202254.15","7174052.55"
"117191","1202254.15","7174086.1"
"117192","1202254.15","7174119.66"
"117193","1202254.15","7174154.34"
"117194","1202254.15","7174189.02"
"117195","1202254.15","7174223.71"
"117196","1202254.15","7174250.8"
"117197","1202254.15","7173542.01"
"117199","1202254.15","7173603.79"
"117200","1202254.15","7173638.47"
"117201","1202254.15","7173673.16"
"117202","1202254.15","7173706.71"
"117203","1202254.15","7173740.26"
"117204","1202254.15","7173774.94"
"117205","1202254.15","7173809.63"
"117206","1202254.15","7173844.31"
"117207","1202254.15","7173871.41"
"117208","1202283.85","7173921.41"
"117209","1202283.85","7173948.5"
"117176","1202224.45","7173569.11"
"117154","1202194.75","7173569.11"
"117211","1202283.85","7174017.87"
"117212","1202283.85","7174052.55"
"117213","1202283.85","7174086.1"
"117214","1202283.85","7174119.66"
"117215","1202283.85","7174154.34"
"117216","1202283.85","7174189.02"
"117217","1202283.85","7174223.71"
"117218","1202283.85","7174250.8"
"117219","1202283.85","7173542.01"
"117221","1202283.85","7173603.79"
"117222","1202283.85","7173638.47"
"117223","1202283.85","7173673.16"
"117224","1202283.85","7173706.71"
"117225","1202283.85","7173740.26"
"117226","1202283.85","7173774.94"
"117227","1202283.85","7173809.63"
"117228","1202283.85","7173844.31"
"117229","1202283.85","7173871.41"
"117230","1202313.55","7173921.41"
"117231","1202313.55","7173948.5"
"117232","1202313.55","7173983.19"
"117233","1202313.55","7174017.87"
"117234","1202313.55","7174052.55"
"117235","1202313.55","7174086.1"
"117236","1202313.55","7174119.66"
"117237","1202313.55","7174154.34"
"117238","1202313.55","7174189.02"
"117239","1202313.55","7174223.71"
"117240","1202313.55","7174250.8"
"117241","1202313.55","7173542.01"
"117243","1202313.55","7173603.79"
"117244","1202313.55","7173638.47"
"117245","1202313.55","7173673.16"
"117220","1202283.85","7173569.11"
"117246","1202313.55","7173706.71"
"117247","1202313.55","7173740.26"
"117248","1202313.55","7173774.94"
"117249","1202313.55","7173809.63"
"117250","1202313.55","7173844.31"
"117251","1202313.55","7173871.41"
"117252","1202343.25","7173921.41"
"117253","1202343.25","7173948.5"
"117254","1202343.25","7173983.19"
"117255","1202343.25","7174017.87"
"117256","1202343.25","7174052.55"
"117257","1202343.25","7174086.1"
"117258","1202343.25","7174119.66"
"117259","1202343.25","7174154.34"
"117260","1202343.25","7174189.02"
"117261","1202343.25","7174223.71"
"117262","1202343.25","7174250.8"
"117263","1202343.25","7173542.01"
"117265","1202343.25","7173603.79"
"117266","1202343.25","7173638.47"
"117268","1202343.25","7173706.71"
"117269","1202343.25","7173740.26"
"117270","1202343.25","7173774.94"
"117271","1202343.25","7173809.63"
"117272","1202343.25","7173844.31"
"117273","1202343.25","7173871.41"
"117274","1202372.95","7173921.41"
"117275","1202372.95","7173948.5"
"117276","1202372.95","7173983.19"
"117277","1202372.95","7174017.87"
"117278","1202372.95","7174052.55"
"117279","1202372.95","7174086.1"
"117280","1202372.95","7174119.66"
"117281","1202372.95","7174154.34"
"117282","1202372.95","7174189.02"
"117283","1202372.95","7174223.71"
"117284","1202372.95","7174250.8"
"117285","1202372.95","7173542.022"
"117287","1202372.95","7173603.797"
"117288","1202372.95","7173638.475"
"117289","1202372.95","7173673.162"
"117290","1202372.95","7173706.71"
"117291","1202372.95","7173740.258"
"117292","1202372.95","7173774.935"
"117293","1202372.95","7173809.623"
"117294","1202372.95","7173844.3"
"117295","1202372.95","7173871.398"
"117296","1202402.65","7173921.422"
"117297","1202402.65","7173948.51"
"117298","1202402.65","7173983.197"
"117299","1202402.65","7174017.875"
"117300","1202402.65","7174052.552"
"117301","1202402.65","7174086.1"
"117302","1202402.65","7174119.658"
"117303","1202402.65","7174154.335"
"117304","1202402.65","7174189.013"
"117305","1202402.65","7174223.7"
"117306","1202402.65","7174250.788"
"117307","1202402.65","7173542.035"
"117309","1202402.65","7173603.806"
